"","Category","m","Year","COG_hat","SE"
"1","1","1","1982","-31.0459434839386","18.6506776120757"
"2","1","1","1983","-49.4340966727186","18.2806587853387"
"3","1","1","1984","-56.2724148322268","17.7840725837477"
"4","1","1","1985","-53.998493938687","20.3449477464914"
"5","1","1","1986","-53.5298655668526","20.6732170685119"
"6","1","1","1987","-59.1507941858634","20.3950449703446"
"7","1","1","1988","-45.6353748263611","24.7618559625681"
"8","1","1","1989","-46.4698788803358","18.4028121670225"
"9","1","1","1990","-41.5782114186141","22.7771472640825"
"10","1","1","1991","-31.0686263145038","20.96498979337"
"11","1","1","1992","-30.5082645904376","23.2361198327407"
"12","1","1","1993","-45.7368577720859","28.0686947079086"
"13","1","1","1994","-16.3708870473391","23.1889925019443"
"14","1","1","1995","-34.7102892135684","31.4272922760258"
"15","1","1","1996","-48.3884097195652","17.0576238478065"
"16","1","1","1997","-45.7247770550635","17.5399308180034"
"17","1","1","1998","-48.3219074325575","18.9825139517752"
"18","1","1","1999","-25.2525705981125","17.7135137017287"
"19","1","1","2000","-53.0876236424426","15.1070921290031"
"20","1","1","2001","-13.5430206863269","27.5255856437937"
"21","1","1","2002","-44.8727990700581","20.2497837127769"
"22","1","1","2003","-71.7393087426034","24.9720446436168"
"23","1","1","2004","-61.1234691527118","25.4548719330162"
"24","1","1","2005","-52.763604198122","19.4870800138093"
"25","1","1","2006","-32.4681520132645","25.2164403422053"
"26","1","1","2007","-42.0768480311051","18.4181415125237"
"27","1","1","2008","-42.8896555032148","21.9145046026599"
"28","1","1","2009","-58.0483332703297","18.5831243200879"
"29","1","1","2010","-38.7198969949668","23.9957460058275"
"30","1","1","2011","-46.0092765087442","17.0934512060406"
"31","1","1","2012","-41.5917877564294","18.3381999188531"
"32","1","1","2013","-4.86990972053117","31.6565359127533"
"33","1","1","2014","-24.7754959576547","19.7684487295192"
"34","1","1","2015","-45.7412925268076","19.2342817024962"
"35","1","1","2016","-15.4498582123433","27.912271153542"
"36","1","1","2017","-45.6353748263611","24.7618559625681"
"37","1","1","2018","-29.2880068935182","15.6527312517468"
"38","1","1","2019","-36.8269630570312","25.1395512101293"
"39","1","2","1982","4203.28958407262","24.4061994981296"
"40","1","2","1983","4176.55837873708","26.5026231566256"
"41","1","2","1984","4159.81334458661","26.7259107132583"
"42","1","2","1985","4157.4955974213","31.831105358609"
"43","1","2","1986","4162.0571222323","30.7947825288138"
"44","1","2","1987","4157.73201271672","30.900783353334"
"45","1","2","1988","4184.14413444764","39.6462868009178"
"46","1","2","1989","4183.62148346893","27.8651016959079"
"47","1","2","1990","4180.75532502023","32.4958320104573"
"48","1","2","1991","4209.16699748815","30.6716528291507"
"49","1","2","1992","4210.61224847555","34.7921398932989"
"50","1","2","1993","4177.61435003559","42.1307404015467"
"51","1","2","1994","4230.69431855597","33.9081436349299"
"52","1","2","1995","4195.12790762722","43.6075110095906"
"53","1","2","1996","4187.69605582922","26.5011155208959"
"54","1","2","1997","4184.92341037617","26.4892509251736"
"55","1","2","1998","4176.14895650593","28.8726457835995"
"56","1","2","1999","4222.14381678252","25.5861907535415"
"57","1","2","2000","4175.8958687586","23.8648539794571"
"58","1","2","2001","4236.31224530036","39.5683656427525"
"59","1","2","2002","4188.16416254536","30.0330899610765"
"60","1","2","2003","4127.00423043009","37.1549387833764"
"61","1","2","2004","4146.80201594284","37.7246840685131"
"62","1","2","2005","4169.41919466648","30.0510299054641"
"63","1","2","2006","4194.09077775061","36.4858038299317"
"64","1","2","2007","4195.80597916387","27.9442849115251"
"65","1","2","2008","4189.74805645377","33.7258742029711"
"66","1","2","2009","4164.13212205274","28.1483333760019"
"67","1","2","2010","4189.16255562243","33.7407566314836"
"68","1","2","2011","4182.32165759254","27.5344399566371"
"69","1","2","2012","4189.37560413276","27.9576667673178"
"70","1","2","2013","4236.75108692083","41.5433148474842"
"71","1","2","2014","4228.30888963311","29.9373218021022"
"72","1","2","2015","4188.60268277822","28.9317394731662"
"73","1","2","2016","4220.88505899083","36.4757533501366"
"74","1","2","2017","4184.14413444764","39.6462868009178"
"75","1","2","2018","4222.35124579995","23.8021038991639"
"76","1","2","2019","4200.22073153699","36.7004058144525"
"77","2","1","1982","28.0538476630139","36.2959091074179"
"78","2","1","1983","-20.605341943284","37.939167972449"
"79","2","1","1984","-24.0569252897167","39.3542718634274"
"80","2","1","1985","-27.7741454905323","34.0663765393266"
"81","2","1","1986","-26.3294394044462","34.9092677093501"
"82","2","1","1987","-33.5862641552624","37.2201018633795"
"83","2","1","1988","-7.95471889348438","51.685445090231"
