"","m","Year","COG_hat","SE"
"1","1","1964","274.320847404798","54.856052055378"
"2","1","1965","294.103715783069","58.777246591444"
"3","1","1966","280.448111535585","58.1441454258289"
"4","1","1967","270.812603852629","58.4466111342875"
"5","1","1968","296.530510578529","53.5480451191805"
"6","1","1969","249.553794554234","49.83207007501"
"7","1","1970","288.331631555496","50.7834731104749"
"8","1","1971","330.807424474678","44.1930790423697"
"9","1","1972","425.465107138135","30.3104317862091"
"10","1","1973","312.352464801808","49.2059305341666"
"11","1","1974","369.554331049685","37.4682901169568"
"12","1","1975","362.671779975798","42.852586571814"
"13","1","1976","196.645434643456","41.9057440595558"
"14","1","1977","223.315712132078","38.2471980967851"
"15","1","1978","255.620780083128","32.7731617278141"
"16","1","1979","323.936762004468","32.3546268498697"
"17","1","1980","263.040866575303","42.7531070622014"
"18","1","1981","214.206041604551","33.9314926342556"
"19","1","1982","270.801365404408","38.2693792866468"
"20","1","1983","244.227021989049","38.2424320560091"
"21","1","1984","225.879742677382","38.0826626515336"
"22","1","1985","230.61552396034","31.5856156742181"
"23","1","1986","307.732702409322","36.3037896302865"
"24","1","1987","347.055598272205","34.3443680031287"
"25","1","1988","400.971896975212","41.1859819531805"
"26","1","1989","239.273712741528","38.0666395892355"
"27","1","1990","321.17933373371","36.4857668958647"
"28","1","1991","312.167620069456","40.43751471083"
"29","1","1992","362.965300587227","35.0066401367193"
"30","1","1993","375.262180336433","29.3965766415298"
"31","1","1994","381.051740538075","28.3450701979286"
"32","1","1995","324.331471665165","29.0584218518353"
"33","1","1996","260.757967373481","37.7458468019725"
"34","1","1997","359.297196626436","36.1480889346902"
"35","1","1998","370.882483715038","33.7503725849582"
"36","1","1999","310.04382704678","35.0246673196981"
"37","1","2000","331.256152294215","41.9112725351428"
"38","1","2001","304.619781442359","29.7061054328916"
"39","1","2002","295.334765568564","32.1287912656322"
"40","1","2003","207.402716556322","40.0568545095585"
"41","1","2004","275.816649257632","31.0651459482091"
"42","1","2005","324.004408538884","37.3631289483264"
"43","1","2006","264.128971596523","30.487812110928"
"44","1","2007","334.975389851738","38.151374331511"
"45","1","2008","305.241036968145","32.9359419932494"
"46","1","2009","272.382891604276","40.5896603016839"
"47","1","2010","329.250444473574","32.6371108179203"
