status,mode_fx,year,wave,sub_reg,st,area_x,estrips,NUMVAR
FINAL,3,2018,1,6,12,1,"3,930,226",844107316899
FINAL,3,2018,1,6,12,2,0,0
FINAL,3,2018,1,6,12,5,"2,467,712",327193781294
FINAL,5,2018,1,6,12,1,"5,165",3595289.8531
FINAL,5,2018,1,6,12,2,"4,630",1955095.8892
FINAL,5,2018,1,6,12,5,"6,147",1445649.2356
FINAL,7,2018,1,6,12,1,"225,587",8856687476
FINAL,7,2018,1,6,12,2,"394,704",18902444029
FINAL,7,2018,1,6,12,5,"1,562,038",162397406745
FINAL,3,2018,1,6,37,1,"609,584",17171940299
FINAL,3,2018,1,6,37,2,0,0
FINAL,3,2018,1,6,37,3,0,0
FINAL,3,2018,1,6,37,4,0,0
FINAL,3,2018,1,6,37,5,"191,741",9341289019.5
FINAL,5,2018,1,6,37,1,0,0
FINAL,5,2018,1,6,37,2,58,3073.4741129
FINAL,5,2018,1,6,37,5,226,11890.246269
FINAL,7,2018,1,6,37,1,"15,438",58998600.265
FINAL,7,2018,1,6,37,2,"33,635",326437345.31
FINAL,7,2018,1,6,37,3,0,0
FINAL,7,2018,1,6,37,4,0,0
FINAL,7,2018,1,6,37,5,"347,734",4123566739.2
FINAL,3,2018,1,7,1,1,"691,582",134434508060
FINAL,3,2018,1,7,1,2,0,0
FINAL,3,2018,1,7,1,3,0,0
FINAL,3,2018,1,7,1,4,0,0
FINAL,3,2018,1,7,1,5,"77,810",2812689565.9
FINAL,5,2018,1,7,1,1,397,37571.144721
FINAL,5,2018,1,7,1,2,294,81851.311323
FINAL,5,2018,1,7,1,5,63,3758.4785811
FINAL,7,2018,1,7,1,1,"16,228",311487596.77
FINAL,7,2018,1,7,1,2,"1,508",2772431.7001
FINAL,7,2018,1,7,1,3,0,0
FINAL,7,2018,1,7,1,4,0,0
FINAL,7,2018,1,7,1,5,"188,839",2231030808.3
FINAL,3,2018,1,7,12,3,"1,927,834",220346570667
FINAL,3,2018,1,7,12,4,0,0
FINAL,3,2018,1,7,12,5,"2,284,026",310242943256
FINAL,5,2018,1,7,12,3,"34,534",30888220.262
FINAL,5,2018,1,7,12,4,"47,909",66059228.631
FINAL,5,2018,1,7,12,5,"29,284",30862623.702
FINAL,7,2018,1,7,12,3,"849,433",53117901934
FINAL,7,2018,1,7,12,4,"151,931",2877728153.9
FINAL,7,2018,1,7,12,5,"1,672,456",180555873787
FINAL,3,2018,1,7,28,1,0,0
FINAL,3,2018,1,7,28,2,0,0
FINAL,3,2018,1,7,28,3,0,0
FINAL,3,2018,1,7,28,4,0,0
FINAL,3,2018,1,7,28,5,"434,073",17961683710
FINAL,5,2018,1,7,28,1,0,0
FINAL,5,2018,1,7,28,2,0,0
FINAL,5,2018,1,7,28,5,153,21875.729354
FINAL,7,2018,1,7,28,1,0,0
FINAL,7,2018,1,7,28,2,"4,096",20927653.095
FINAL,7,2018,1,7,28,3,0,0
FINAL,7,2018,1,7,28,4,0,0
FINAL,7,2018,1,7,28,5,"139,323",2054774688.2
FINAL,3,2018,2,4,9,1,0,0
FINAL,3,2018,2,4,9,2,0,0
FINAL,3,2018,2,4,9,3,0,0
FINAL,3,2018,2,4,9,4,0,0
FINAL,3,2018,2,4,9,5,"227,740",1717879745.7
FINAL,4,2018,2,4,9,1,0,0
FINAL,4,2018,2,4,9,2,0,0
FINAL,4,2018,2,4,9,5,0,0
FINAL,5,2018,2,4,9,1,0,0
FINAL,5,2018,2,4,9,2,0,0
FINAL,5,2018,2,4,9,5,103,9602.5163186
FINAL,7,2018,2,4,9,1,0,0
FINAL,7,2018,2,4,9,2,0,0
FINAL,7,2018,2,4,9,3,0,0
FINAL,7,2018,2,4,9,4,0,0
FINAL,7,2018,2,4,9,5,"76,313",364275518.2
FINAL,4,2018,2,4,23,2,114,0
FINAL,4,2018,2,4,25,1,0,0
FINAL,4,2018,2,4,25,2,695,13178.656808
FINAL,4,2018,2,4,25,5,4,0.4128421951
FINAL,5,2018,2,4,25,1,2,0.1209708695
FINAL,5,2018,2,4,25,2,443,7560.6793436
FINAL,5,2018,2,4,25,5,97,365.93688023
FINAL,4,2018,2,4,33,2,261,1262.6509531
FINAL,4,2018,2,4,33,5,773,11070.136372
FINAL,5,2018,2,4,33,2,201,0
FINAL,5,2018,2,4,33,5,48,0
FINAL,3,2018,2,4,44,1,"99,922",652407639.64
FINAL,3,2018,2,4,44,2,0,0
FINAL,3,2018,2,4,44,3,0,0
FINAL,3,2018,2,4,44,4,0,0
FINAL,3,2018,2,4,44,5,"38,930",314429627.08
FINAL,4,2018,2,4,44,1,23,2.9493552293
FINAL,4,2018,2,4,44,5,148,123.48511514
FINAL,5,2018,2,4,44,1,0,0
FINAL,5,2018,2,4,44,2,0,0
FINAL,5,2018,2,4,44,5,6,0
FINAL,7,2018,2,4,44,1,0,0
FINAL,7,2018,2,4,44,2,"45,350",118683453.81
FINAL,7,2018,2,4,44,3,0,0
FINAL,7,2018,2,4,44,4,0,0
FINAL,7,2018,2,4,44,5,879,2849474.8357
FINAL,3,2018,2,5,10,1,"57,203",719431840.82
FINAL,3,2018,2,5,10,2,0,0
FINAL,3,2018,2,5,10,3,0,0
FINAL,3,2018,2,5,10,4,0,0
FINAL,3,2018,2,5,10,5,"149,128",1371270021.8
FINAL,4,2018,2,5,10,1,0,0
FINAL,4,2018,2,5,10,2,111,0
FINAL,4,2018,2,5,10,5,29,0
FINAL,5,2018,2,5,10,1,1,10.653659876
FINAL,5,2018,2,5,10,2,5,505.5885008
FINAL,5,2018,2,5,10,5,5,125.38417425
FINAL,7,2018,2,5,10,1,"1,746",3664421.0591
FINAL,7,2018,2,5,10,2,0,0
FINAL,7,2018,2,5,10,3,0,0
FINAL,7,2018,2,5,10,4,0,0
FINAL,7,2018,2,5,10,5,"71,929",159145183.6
FINAL,3,2018,2,5,24,1,0,0
FINAL,3,2018,2,5,24,2,0,0
FINAL,3,2018,2,5,24,3,0,0
FINAL,3,2018,2,5,24,4,0,0
FINAL,3,2018,2,5,24,5,"533,626",7368697143.9
FINAL,4,2018,2,5,24,1,0,0
FINAL,4,2018,2,5,24,2,15,0
FINAL,4,2018,2,5,24,5,0,0
FINAL,5,2018,2,5,24,1,0,0
FINAL,5,2018,2,5,24,2,35,29.944467481
FINAL,5,2018,2,5,24,5,"8,358",3874377.2326
FINAL,7,2018,2,5,24,1,0,0
FINAL,7,2018,2,5,24,2,0,0
FINAL,7,2018,2,5,24,3,0,0
FINAL,7,2018,2,5,24,4,0,0
FINAL,7,2018,2,5,24,5,"229,077",1386577295.2
FINAL,3,2018,2,5,34,1,"180,190",2508076723.2
FINAL,3,2018,2,5,34,2,0,0
FINAL,3,2018,2,5,34,3,0,0
FINAL,3,2018,2,5,34,4,0,0
FINAL,3,2018,2,5,34,5,"1,070,159",50745114659
FINAL,4,2018,2,5,34,1,146,21.99967499
FINAL,4,2018,2,5,34,2,980,984.66111279
FINAL,4,2018,2,5,34,5,385,151.79492073
FINAL,5,2018,2,5,34,1,559,31731.841853
FINAL,5,2018,2,5,34,2,"2,144",422465.59035
FINAL,5,2018,2,5,34,5,"2,901",1238943.3166
FINAL,7,2018,2,5,34,1,"65,643",878860676.2
FINAL,7,2018,2,5,34,2,"41,414",1197384339.9
FINAL,7,2018,2,5,34,3,0,0
FINAL,7,2018,2,5,34,4,0,0
FINAL,7,2018,2,5,34,5,"375,456",8195488789.7
FINAL,3,2018,2,5,36,1,0,0
FINAL,3,2018,2,5,36,2,0,0
FINAL,3,2018,2,5,36,3,0,0
FINAL,3,2018,2,5,36,4,0,0
FINAL,3,2018,2,5,36,5,"801,123",38844880255
FINAL,4,2018,2,5,36,1,617,5370.4490818
FINAL,4,2018,2,5,36,2,875,10803.070478
FINAL,4,2018,2,5,36,5,602,5116.1263356
FINAL,5,2018,2,5,36,1,10,3.1897041295
FINAL,5,2018,2,5,36,2,20,12.758816518
FINAL,5,2018,2,5,36,5,110,372.04708967
FINAL,7,2018,2,5,36,1,"110,238",7832352205.3
FINAL,7,2018,2,5,36,2,0,0
FINAL,7,2018,2,5,36,3,0,0
FINAL,7,2018,2,5,36,4,0,0
FINAL,7,2018,2,5,36,5,"145,286",8263903235.4
FINAL,3,2018,2,5,51,1,"7,536",5032656.3534
FINAL,3,2018,2,5,51,2,0,0
FINAL,3,2018,2,5,51,3,0,0
FINAL,3,2018,2,5,51,4,0,0
FINAL,3,2018,2,5,51,5,"503,912",14426213476
FINAL,4,2018,2,5,51,1,0,0
FINAL,4,2018,2,5,51,2,92,11.31267978
FINAL,4,2018,2,5,51,5,0,0
FINAL,5,2018,2,5,51,1,0,0
FINAL,5,2018,2,5,51,2,15,0
FINAL,5,2018,2,5,51,5,116,5039.7668964
FINAL,7,2018,2,5,51,1,0,0
FINAL,7,2018,2,5,51,2,"6,189",29685339.008
FINAL,7,2018,2,5,51,3,0,0
FINAL,7,2018,2,5,51,4,0,0
FINAL,7,2018,2,5,51,5,"264,038",5133569662
FINAL,3,2018,2,6,12,1,"2,432,729",790970685358
FINAL,3,2018,2,6,12,2,0,0
FINAL,3,2018,2,6,12,5,"2,104,206",501351265429
FINAL,5,2018,2,6,12,1,"22,362",70893334.803
FINAL,5,2018,2,6,12,2,"15,780",10647527.366
FINAL,5,2018,2,6,12,5,"18,268",11939466.669
FINAL,7,2018,2,6,12,1,"202,151",4318903275.5
FINAL,7,2018,2,6,12,2,"433,957",19408521679
FINAL,7,2018,2,6,12,5,"1,699,322",201421332516
FINAL,3,2018,2,6,13,1,"213,967",6786903350.4
FINAL,3,2018,2,6,13,2,0,0
FINAL,3,2018,2,6,13,3,0,0
FINAL,3,2018,2,6,13,4,0,0
FINAL,3,2018,2,6,13,5,"433,533",12302428525
FINAL,5,2018,2,6,13,1,241,13609.57909
FINAL,5,2018,2,6,13,2,556,57617.357973
FINAL,5,2018,2,6,13,5,"3,120",395797.33871
FINAL,7,2018,2,6,13,1,"21,187",241029264.26
FINAL,7,2018,2,6,13,2,"5,821",23292027.042
FINAL,7,2018,2,6,13,3,0,0
FINAL,7,2018,2,6,13,4,0,0
FINAL,7,2018,2,6,13,5,"371,823",5618887740
FINAL,3,2018,2,6,37,1,"1,615,352",105713806753
FINAL,3,2018,2,6,37,2,0,0
FINAL,3,2018,2,6,37,3,0,0
FINAL,3,2018,2,6,37,4,0,0
FINAL,3,2018,2,6,37,5,"158,944",6666130911.2
FINAL,5,2018,2,6,37,1,720,123201.21573
FINAL,5,2018,2,6,37,2,"2,804",498268.87843
FINAL,5,2018,2,6,37,5,"1,773",386484.16511
FINAL,7,2018,2,6,37,1,"46,586",327120547.95
FINAL,7,2018,2,6,37,2,"54,350",772083340.97
FINAL,7,2018,2,6,37,3,0,0
FINAL,7,2018,2,6,37,4,0,0
FINAL,7,2018,2,6,37,5,"351,752",4731371071.7
FINAL,3,2018,2,6,45,1,"1,050,424",37274245791
FINAL,3,2018,2,6,45,2,0,0
FINAL,3,2018,2,6,45,3,0,0
FINAL,3,2018,2,6,45,4,0,0
FINAL,3,2018,2,6,45,5,"174,562",2573396034.1
FINAL,5,2018,2,6,45,1,"1,603",462924.54228
FINAL,5,2018,2,6,45,2,"3,401",1532999.8729
FINAL,5,2018,2,6,45,5,"8,371",2464423.9152
FINAL,7,2018,2,6,45,1,"13,870",43435987.227
FINAL,7,2018,2,6,45,2,"35,804",300293040.06
FINAL,7,2018,2,6,45,3,0,0
FINAL,7,2018,2,6,45,4,0,0
FINAL,7,2018,2,6,45,5,"318,991",3568868433.7
FINAL,3,2018,2,7,1,1,"619,687",18545368776
FINAL,3,2018,2,7,1,2,0,0
FINAL,3,2018,2,7,1,3,0,0
FINAL,3,2018,2,7,1,4,0,0
FINAL,3,2018,2,7,1,5,"69,609",2865291767.8
FINAL,5,2018,2,7,1,1,"2,774",549150.89009
FINAL,5,2018,2,7,1,2,"4,111",1302792.8265
FINAL,5,2018,2,7,1,5,540,54728.399682
FINAL,7,2018,2,7,1,1,"57,245",363291585.48
FINAL,7,2018,2,7,1,2,"32,398",201840547.03
FINAL,7,2018,2,7,1,3,0,0
FINAL,7,2018,2,7,1,4,0,0
FINAL,7,2018,2,7,1,5,"82,886",546410890.43
FINAL,3,2018,2,7,12,3,"3,470,918",986457066298
FINAL,3,2018,2,7,12,4,0,0
FINAL,3,2018,2,7,12,5,"2,870,390",918148914379
FINAL,5,2018,2,7,12,3,"50,830",31102664.45
FINAL,5,2018,2,7,12,4,"66,243",64484902.994
FINAL,5,2018,2,7,12,5,"59,332",63010510.446
FINAL,7,2018,2,7,12,3,"1,142,137",68577102481
FINAL,7,2018,2,7,12,4,"296,328",9450063530.1
FINAL,7,2018,2,7,12,5,"2,040,176",197415756638
FINAL,3,2018,2,7,28,1,0,0
FINAL,3,2018,2,7,28,2,0,0
FINAL,3,2018,2,7,28,3,0,0
FINAL,3,2018,2,7,28,4,0,0
FINAL,3,2018,2,7,28,5,"452,091",15756343310
FINAL,5,2018,2,7,28,1,501,235968.42522
FINAL,5,2018,2,7,28,2,0,0
FINAL,5,2018,2,7,28,5,"3,718",2246591.1
FINAL,7,2018,2,7,28,1,"21,611",138887582.52
FINAL,7,2018,2,7,28,2,"4,157",15252046.271
FINAL,7,2018,2,7,28,3,0,0
FINAL,7,2018,2,7,28,4,0,0
FINAL,7,2018,2,7,28,5,"188,899",1715658877.1
FINAL,3,2018,3,4,9,1,0,0
FINAL,3,2018,3,4,9,2,0,0
FINAL,3,2018,3,4,9,3,0,0
FINAL,3,2018,3,4,9,4,0,0
FINAL,3,2018,3,4,9,5,"367,709",5769801790.7
FINAL,4,2018,3,4,9,1,"1,686",144872.4359
FINAL,4,2018,3,4,9,2,855,37213.749428
FINAL,4,2018,3,4,9,5,"3,708",308045.35504
FINAL,5,2018,3,4,9,1,228,41947.529126
FINAL,5,2018,3,4,9,2,9,2.8530975967
FINAL,5,2018,3,4,9,5,"4,053",955506.212
FINAL,7,2018,3,4,9,1,"49,731",543082786.9
FINAL,7,2018,3,4,9,2,"5,525",15084512.637
FINAL,7,2018,3,4,9,3,0,0
FINAL,7,2018,3,4,9,4,0,0
FINAL,7,2018,3,4,9,5,"257,726",3416902321.1
FINAL,3,2018,3,4,23,1,"129,956",3403010761.9
FINAL,3,2018,3,4,23,2,0,0
FINAL,3,2018,3,4,23,3,0,0
FINAL,3,2018,3,4,23,4,0,0
FINAL,3,2018,3,4,23,5,"194,642",4125018203.2
FINAL,4,2018,3,4,23,1,32,6.29729077
FINAL,4,2018,3,4,23,2,"1,557",14685.817783
FINAL,4,2018,3,4,23,5,"1,020",5729.0586731
FINAL,5,2018,3,4,23,1,"1,106",463639.88107
FINAL,5,2018,3,4,23,2,325,9576.0771857
FINAL,5,2018,3,4,23,5,"1,085",200990.37377
FINAL,7,2018,3,4,23,1,"45,132",135603263.23
FINAL,7,2018,3,4,23,2,"6,007",8888505.6939
FINAL,7,2018,3,4,23,3,0,0
FINAL,7,2018,3,4,23,4,0,0
FINAL,7,2018,3,4,23,5,"124,946",522615187.05
FINAL,3,2018,3,4,25,1,"101,813",1981107672.8
FINAL,3,2018,3,4,25,2,0,0
FINAL,3,2018,3,4,25,3,0,0
FINAL,3,2018,3,4,25,4,0,0
FINAL,3,2018,3,4,25,5,"1,202,920",89740168040
FINAL,4,2018,3,4,25,1,268,1965.5416907
FINAL,4,2018,3,4,25,2,"4,924",662033.78987
FINAL,4,2018,3,4,25,5,"10,822",3859780.7107
FINAL,5,2018,3,4,25,1,"9,490",7152277.9089
FINAL,5,2018,3,4,25,2,"4,637",727568.63855
FINAL,5,2018,3,4,25,5,"10,433",8603695.3574
FINAL,7,2018,3,4,25,1,"209,025",2608041841.8
FINAL,7,2018,3,4,25,2,"79,373",632421266.15
FINAL,7,2018,3,4,25,3,0,0
FINAL,7,2018,3,4,25,4,0,0
FINAL,7,2018,3,4,25,5,"727,694",19299094026
FINAL,3,2018,3,4,33,1,"2,251",1632098.8925
FINAL,3,2018,3,4,33,2,0,0
FINAL,3,2018,3,4,33,3,0,0
FINAL,3,2018,3,4,33,4,0,0
FINAL,3,2018,3,4,33,5,"79,570",218742376.02
FINAL,4,2018,3,4,33,1,586,6357.5714854
FINAL,4,2018,3,4,33,2,"6,957",897009.35037
FINAL,4,2018,3,4,33,5,"3,343",207188.20711
FINAL,5,2018,3,4,33,1,47,0
FINAL,5,2018,3,4,33,2,"1,058",16943.760297
FINAL,5,2018,3,4,33,5,273,0
FINAL,7,2018,3,4,33,1,"51,604",173801851.28
FINAL,7,2018,3,4,33,2,"29,435",154081539.28
FINAL,7,2018,3,4,33,3,0,0
FINAL,7,2018,3,4,33,4,0,0
FINAL,7,2018,3,4,33,5,"30,678",171473729.89
FINAL,3,2018,3,4,44,1,"33,648",236618464.98
FINAL,3,2018,3,4,44,2,0,0
FINAL,3,2018,3,4,44,3,0,0
FINAL,3,2018,3,4,44,4,0,0
FINAL,3,2018,3,4,44,5,"359,674",7275807132
FINAL,4,2018,3,4,44,1,"1,909",19717.817434
FINAL,4,2018,3,4,44,2,575,1869.4625893
FINAL,4,2018,3,4,44,5,"2,133",24740.385693
FINAL,5,2018,3,4,44,1,"1,990",378890.40455
FINAL,5,2018,3,4,44,2,581,33290.842084
FINAL,5,2018,3,4,44,5,"2,849",1612101.3499
FINAL,7,2018,3,4,44,1,"29,856",328048503.23
FINAL,7,2018,3,4,44,2,"2,445",2993140.6888
FINAL,7,2018,3,4,44,3,0,0
FINAL,7,2018,3,4,44,4,0,0
FINAL,7,2018,3,4,44,5,"83,738",650234563.14
FINAL,3,2018,3,5,10,1,"151,628",5158945004.9
FINAL,3,2018,3,5,10,2,0,0
FINAL,3,2018,3,5,10,3,0,0
FINAL,3,2018,3,5,10,4,0,0
