status,mode_fx,year,wave,sub_reg,st,area_x,estrips,NUMVAR
FINAL,3,2021,1,6,12,1,"1,561,721",287172261404
FINAL,3,2021,1,6,12,2,0,0
FINAL,3,2021,1,6,12,5,"3,389,548",940854689810
FINAL,5,2021,1,6,12,1,"18,333",15494639.608
FINAL,5,2021,1,6,12,2,"8,981",5377439.9894
FINAL,5,2021,1,6,12,5,"10,353",4978497.8252
FINAL,7,2021,1,6,12,1,"366,711",10174468575
FINAL,7,2021,1,6,12,2,"255,134",10243020288
FINAL,7,2021,1,6,12,5,"1,447,329",125401479656
FINAL,3,2021,1,6,37,1,"362,190",12995142548
FINAL,3,2021,1,6,37,2,0,0
FINAL,3,2021,1,6,37,5,"501,564",18163785670
FINAL,5,2021,1,6,37,1,0,0
FINAL,5,2021,1,6,37,2,775,166894.50318
FINAL,5,2021,1,6,37,5,"1,098",234808.72184
FINAL,7,2021,1,6,37,1,"13,588",59235165.772
FINAL,7,2021,1,6,37,2,"11,980",30669443.004
FINAL,7,2021,1,6,37,5,"293,799",3432115684.5
FINAL,3,2021,1,7,1,1,"149,332",2837476747.3
FINAL,3,2021,1,7,1,2,0,0
FINAL,3,2021,1,7,1,5,"127,573",2588974226.1
FINAL,5,2021,1,7,1,1,108,6178.4309399
FINAL,5,2021,1,7,1,2,506,72194.321874
FINAL,5,2021,1,7,1,5,471,32229.639239
FINAL,7,2021,1,7,1,1,"11,742",30607537.93
FINAL,7,2021,1,7,1,2,"11,104",46668254.675
FINAL,7,2021,1,7,1,5,"98,688",482033879.86
FINAL,3,2021,1,7,12,3,"1,321,900",171361562421
FINAL,3,2021,1,7,12,4,0,0
FINAL,3,2021,1,7,12,5,"816,894",69069946837
FINAL,5,2021,1,7,12,3,"15,908",9487783.8536
FINAL,5,2021,1,7,12,4,"35,054",28135781.667
FINAL,5,2021,1,7,12,5,"21,273",15136658.507
FINAL,7,2021,1,7,12,3,"578,681",30179277270
FINAL,7,2021,1,7,12,4,"196,520",2878204353.7
FINAL,7,2021,1,7,12,5,"1,729,990",146357942885
FINAL,3,2021,1,7,28,5,"435,839",7655952345.7
FINAL,5,2021,1,7,28,1,0,0
FINAL,5,2021,1,7,28,2,0,0
FINAL,5,2021,1,7,28,5,"1,093",618406.33871
FINAL,7,2021,1,7,28,5,"211,755",1580974648.5
FINAL,3,2021,2,4,9,5,"304,061",8870924651.3
FINAL,4,2021,2,4,9,5,51,31.080612365
FINAL,5,2021,2,4,9,1,0,0
FINAL,5,2021,2,4,9,2,0,0
FINAL,5,2021,2,4,9,5,12,2.0168829169
FINAL,7,2021,2,4,9,5,"146,984",869749692.71
FINAL,4,2021,2,4,23,2,216,0
FINAL,5,2021,2,4,23,2,191,0
