status,mode_fx,year,wave,sub_reg,st,area_x,estrips,NUMVAR
FINAL,3,2020,1,6,12,1,"943,277",127986774212
FINAL,3,2020,1,6,12,2,0,0
FINAL,3,2020,1,6,12,5,"3,352,295",639385663654
FINAL,5,2020,1,6,12,1,"6,388",2387282.943
FINAL,5,2020,1,6,12,2,"3,517",576307.19003
FINAL,5,2020,1,6,12,5,"10,813",3159225.8494
FINAL,7,2020,1,6,12,1,"288,370",12206024267
FINAL,7,2020,1,6,12,2,"123,344",2107933554
FINAL,7,2020,1,6,12,5,"1,272,870",92719216305
FINAL,3,2020,1,6,37,1,"217,574",7210771397.8
FINAL,3,2020,1,6,37,2,0,0
FINAL,3,2020,1,6,37,5,"544,714",14940837651
FINAL,5,2020,1,6,37,1,111,11553.391601
FINAL,5,2020,1,6,37,2,"1,225",166115.81364
FINAL,5,2020,1,6,37,5,"1,636",360063.36238
FINAL,7,2020,1,6,37,1,"9,872",27776475.416
FINAL,7,2020,1,6,37,2,"36,068",311297732.98
FINAL,7,2020,1,6,37,5,"389,920",6925530451.5
FINAL,3,2020,1,7,1,1,"464,557",26613996908
FINAL,3,2020,1,7,1,2,0,0
FINAL,3,2020,1,7,1,5,"170,341",8691412702.8
FINAL,5,2020,1,7,1,1,241,14393.85963
FINAL,5,2020,1,7,1,2,411,88700.381319
FINAL,5,2020,1,7,1,5,713,66204.183077
FINAL,7,2020,1,7,1,1,"25,895",276532892.55
FINAL,7,2020,1,7,1,2,"15,796",208735615.63
FINAL,7,2020,1,7,1,5,"153,158",1792572156.9
FINAL,3,2020,1,7,12,3,"1,854,338",198195077596
FINAL,3,2020,1,7,12,4,0,0
FINAL,3,2020,1,7,12,5,"2,108,802",407763911148
FINAL,5,2020,1,7,12,3,"33,554",27562756.589
FINAL,5,2020,1,7,12,4,"84,479",137314951.4
FINAL,5,2020,1,7,12,5,"46,647",41849992.384
FINAL,7,2020,1,7,12,3,"948,218",73303158027
FINAL,7,2020,1,7,12,4,"273,867",10742582935
FINAL,7,2020,1,7,12,5,"1,598,122",144353341471
FINAL,3,2020,1,7,28,2,0,0
FINAL,3,2020,1,7,28,5,"661,907",48863855829
FINAL,5,2020,1,7,28,1,0,0
FINAL,5,2020,1,7,28,2,0,0
FINAL,5,2020,1,7,28,5,176,9394.8029488
FINAL,7,2020,1,7,28,2,"3,033",10210301.261
FINAL,7,2020,1,7,28,5,"168,466",1177148825.4
FINAL,3,2020,2,4,9,5,"314,365",2870970884.4
FINAL,4,2020,2,4,9,1,0,0
FINAL,4,2020,2,4,9,2,0,0
FINAL,4,2020,2,4,9,5,0,0
FINAL,5,2020,2,4,9,1,0,0
FINAL,5,2020,2,4,9,2,0,0
FINAL,5,2020,2,4,9,5,0,0
FINAL,7,2020,2,4,9,5,"113,580",501436303.2
FINAL,3,2020,2,4,25,2,0,0
FINAL,3,2020,2,4,25,5,"370,020",6153688191.3
FINAL,4,2020,2,4,25,1,0,0
FINAL,4,2020,2,4,25,2,0,0
FINAL,4,2020,2,4,25,5,0,0
FINAL,5,2020,2,4,25,1,0,0
FINAL,5,2020,2,4,25,2,1,0.2700281033
FINAL,5,2020,2,4,25,5,2,0.6075632323
FINAL,7,2020,2,4,25,2,"24,807",20657945.372
FINAL,7,2020,2,4,25,5,"74,421",185921508.34
FINAL,5,2020,2,4,33,1,10,0
FINAL,5,2020,2,4,33,2,14,0
FINAL,3,2020,2,4,44,1,"106,568",632808644.81
FINAL,3,2020,2,4,44,2,0,0
FINAL,3,2020,2,4,44,5,"59,207",422894699.77
FINAL,5,2020,2,4,44,1,0,0
FINAL,5,2020,2,4,44,2,0,0
FINAL,5,2020,2,4,44,5,0,0
FINAL,7,2020,2,4,44,1,0,0
FINAL,7,2020,2,4,44,2,"29,511",641005136.26
FINAL,7,2020,2,4,44,5,"60,452",1269861457.1
FINAL,3,2020,2,5,10,1,"4,132",6963400.898
FINAL,3,2020,2,5,10,2,0,0
FINAL,3,2020,2,5,10,5,"144,103",597268636.18
FINAL,4,2020,2,5,10,1,0,0
FINAL,4,2020,2,5,10,2,0,0
FINAL,4,2020,2,5,10,5,84,4.4034381551
FINAL,5,2020,2,5,10,1,0,0
FINAL,5,2020,2,5,10,2,0,0
FINAL,5,2020,2,5,10,5,0,0
FINAL,7,2020,2,5,10,1,"1,006",1078615.033
FINAL,7,2020,2,5,10,2,0,0
FINAL,7,2020,2,5,10,5,"77,290",288910523.71
FINAL,3,2020,2,5,24,2,0,0
FINAL,3,2020,2,5,24,5,"446,637",6827323875.1
FINAL,4,2020,2,5,24,1,0,0
FINAL,4,2020,2,5,24,2,86,0
FINAL,4,2020,2,5,24,5,0,0
FINAL,5,2020,2,5,24,1,0,0
FINAL,5,2020,2,5,24,2,7,1.1162668091
FINAL,5,2020,2,5,24,5,0,0
FINAL,7,2020,2,5,24,2,0,0
FINAL,7,2020,2,5,24,5,"219,824",1553343765.1
FINAL,3,2020,2,5,34,1,"405,712",36007595586
FINAL,3,2020,2,5,34,2,0,0
FINAL,3,2020,2,5,34,5,"1,070,500",99757395992
FINAL,4,2020,2,5,34,1,0,0
FINAL,4,2020,2,5,34,2,187,0
FINAL,4,2020,2,5,34,5,0,0
FINAL,5,2020,2,5,34,1,0,0
FINAL,5,2020,2,5,34,2,8,20.197223056
FINAL,5,2020,2,5,34,5,10,31.558161025
FINAL,7,2020,2,5,34,1,"34,718",228528656.53
FINAL,7,2020,2,5,34,2,"18,936",209557508
FINAL,7,2020,2,5,34,5,"388,745",8010401294.5
FINAL,3,2020,2,5,36,1,"11,396",85409516.076
FINAL,3,2020,2,5,36,2,0,0
FINAL,3,2020,2,5,36,5,"684,186",11435962377
FINAL,4,2020,2,5,36,1,16,2.9332879658
FINAL,4,2020,2,5,36,2,265,19378.161363
FINAL,4,2020,2,5,36,5,0,0
FINAL,5,2020,2,5,36,1,0,0
FINAL,5,2020,2,5,36,2,0,0
FINAL,5,2020,2,5,36,5,33,72.758379055
FINAL,7,2020,2,5,36,1,"82,683",3599733845
FINAL,7,2020,2,5,36,2,"24,250",646700895.75
FINAL,7,2020,2,5,36,5,"339,180",12836065287
FINAL,3,2020,2,5,51,1,"282,901",35897402573
FINAL,3,2020,2,5,51,2,0,0
FINAL,3,2020,2,5,51,5,"683,631",51681950169
FINAL,4,2020,2,5,51,1,0,0
FINAL,4,2020,2,5,51,2,0,0
FINAL,4,2020,2,5,51,5,0,0
FINAL,5,2020,2,5,51,1,9,0
FINAL,5,2020,2,5,51,2,0,0
FINAL,5,2020,2,5,51,5,21,385.77777778
FINAL,7,2020,2,5,51,1,"13,353",151278116.48
FINAL,7,2020,2,5,51,2,"2,960",5475008.0352
FINAL,7,2020,2,5,51,5,"359,539",3281616951.2
FINAL,3,2020,2,6,12,1,"686,720",91016384427
FINAL,3,2020,2,6,12,2,0,0
FINAL,3,2020,2,6,12,5,"1,198,363",179584302475
FINAL,5,2020,2,6,12,1,"7,846",6646821.5382
FINAL,5,2020,2,6,12,2,"9,086",3022751.0713
FINAL,5,2020,2,6,12,5,"11,101",4349509.2167
FINAL,7,2020,2,6,12,1,"305,576",12466258607
FINAL,7,2020,2,6,12,2,"364,398",16860012873
FINAL,7,2020,2,6,12,5,"1,509,099",133554956740
FINAL,3,2020,2,6,13,1,"162,895",3528769965.1
FINAL,3,2020,2,6,13,2,0,0
FINAL,3,2020,2,6,13,5,"349,543",6974410574.2
FINAL,5,2020,2,6,13,1,147,9071.4476905
FINAL,5,2020,2,6,13,2,342,24588.883644
FINAL,5,2020,2,6,13,5,782,90060.854632
FINAL,7,2020,2,6,13,1,"33,522",445289181.52
FINAL,7,2020,2,6,13,2,"26,285",281243542.96
FINAL,7,2020,2,6,13,5,"285,949",3106525428.4
FINAL,3,2020,2,6,37,1,"1,408,209",75699845714
FINAL,3,2020,2,6,37,2,0,0
FINAL,3,2020,2,6,37,5,"398,091",14592684736
FINAL,5,2020,2,6,37,1,324,21990.846553
FINAL,5,2020,2,6,37,2,"1,474",340898.43114
